Stat;YY  ;MM;DD;hh;mm;ss   ;nG;nR;nE;nC;nJ;nS;PDop  ;TDop  ;HDop  ;VDop  ;GDop  ;RecX        ;RecY        ;RecZ        ;RecmX  ;RecmY  ;RecmZ  ;RecN        ;RecE        ;RecU        ;RecmN  ;RecmE  ;RecmU  ;ZTD    ;mZTD   ;  ExZTD;  m0   ;   RecClkG;   RecClkR;  RecClkE;   RecClkC;   RecClkJ;  RecClkS
PTBB;2023;09;02;00;00;00.00; 8; 7; 9;12; 0; 0;  0.30;  0.94;  1.18;  0.55;  0.62;3844058.7392; 709661.4161;5023129.9798; 0.8197; 0.4573; 0.9875;5794986.6645; 599547.2443;    129.8569; 0.6617; 0.4475; 1.1037; 2.4467; 0.0401;    NaN;   0.80;   56.8988;   -3.6454;   -2.6795;  -13.0699;    0.0000;    0.0000
PTBB;2023;09;02;00;00;30.00; 8; 7; 9;12; 0; 0;  0.30;  0.71;  0.74;  0.33;  0.38;3844058.8699; 709661.5426;5023129.6630; 0.6302; 0.3531; 0.7584;5794986.3531; 599547.3513;    129.6988; 0.5048; 0.3458; 0.8501; 2.4471; 0.0438;    NaN;   0.88;   56.6886;   -3.9217;   -2.4500;  -12.8229;    0.0000;    0.0000
PTBB;2023;09;02;00;01;00.00; 8; 7; 9;12; 0; 0;  0.30;  0.58;  0.49;  0.22;  0.25;3844059.0016; 709661.6148;5023129.6526; 0.5210; 0.2939; 0.6245;5794986.2349; 599547.4007;    129.7779; 0.4142; 0.2881; 0.7023; 2.4487; 0.0446;    NaN;   0.90;   56.6234;   -3.7657;   -2.4334;  -12.8510;    0.0000;    0.0000
PTBB;2023;09;02;00;01;30.00; 8; 7; 9;12; 0; 0;  0.30;  0.45;  0.31;  0.14;  0.16;3844059.0963; 709661.6559;5023129.6179; 0.4070; 0.2313; 0.4842;5794986.1347; 599547.4260;    129.8119; 0.3210; 0.2270; 0.5468; 2.4501; 0.0406;    NaN;   0.82;   56.5900;   -3.7141;   -2.4279;  -12.8443;    0.0000;    0.0000
PTBB;2023;09;02;00;02;00.00; 8; 7; 9;12; 0; 0;  0.30;  0.42;  0.23;  0.10;  0.11;3844059.1956; 709661.6430;5023129.6901; 0.3769; 0.2160; 0.4434;5794986.1027; 599547.3959;    129.9273; 0.2948; 0.2122; 0.5034; 2.4507; 0.0422;    NaN;   0.86;   56.6316;   -3.7191;   -2.4085;  -12.8523;    0.0000;    0.0000
PTBB;2023;09;02;00;02;30.00; 8; 7; 9;12; 0; 0;  0.30;  0.41;  0.17;  0.08;  0.09;3844059.1136; 709661.5995;5023129.7082; 0.3675; 0.2122; 0.4264;5794986.1833; 599547.3664;    129.8875; 0.2849; 0.2088; 0.4870; 2.4513; 0.0453;    NaN;   0.93;   56.5911;   -3.7298;   -2.4114;  -12.8489;    0.0000;    0.0000
PTBB;2023;09;02;00;03;00.00; 8; 7; 9;11; 0; 0;  0.31;  0.32;  0.11;  0.05;  0.05;3844059.0753; 709661.5662;5023129.6212; 0.2904; 0.1690; 0.3317;5794986.1641; 599547.3410;    129.7920; 0.2230; 0.1665; 0.3814; 2.4548; 0.0388;    NaN;   0.80;   56.5400;   -3.7301;   -2.4074;  -12.8476;    0.0000;    0.0000
PTBB;2023;09;02;00;03;30.00; 8; 7; 9;11; 0; 0;  0.31;  0.31;  0.08;  0.04;  0.04;3844059.1060; 709661.5610;5023129.6042; 0.2808; 0.1647; 0.3155;5794986.1303; 599547.3309;    129.7964; 0.2135; 0.1624; 0.3655; 2.4571; 0.0401;    NaN;   0.84;   56.5300;   -3.7406;   -2.4080;  -12.8506;    0.0000;    0.0000
PTBB;2023;09;02;00;04;00.00; 8; 7; 9;11; 0; 0;  0.31;  0.32;  0.06;  0.03;  0.03;3844059.0875; 709661.5040;5023129.6087; 0.2819; 0.1667; 0.3116;5794986.1547; 599547.2778;    129.7825; 0.2122; 0.1646; 0.3636; 2.4591; 0.0426;    NaN;   0.91;   56.5278;   -3.7344;   -2.4098;  -12.8457;    0.0000;    0.0000
PTBB;2023;09;02;00;04;30.00; 8; 7; 9;11; 0; 0;  0.31;  0.30;  0.05;  0.02;  0.03;3844059.1743; 709661.4907;5023129.6483; 0.2666; 0.1590; 0.2899;5794986.1127; 599547.2498;    129.8645; 0.1986; 0.1571; 0.3410; 2.4586; 0.0423;    NaN;   0.92;   56.5968;   -3.7354;   -2.4081;  -12.8469;    0.0000;    0.0000
PTBB;2023;09;02;00;05;00.00; 8; 7; 9;11; 0; 0;  0.31;  0.28;  0.04;  0.02;  0.02;3844059.1809; 709661.4907;5023129.6000; 0.2426; 0.1459; 0.2597;5794986.0780; 599547.2493;    129.8303; 0.1788; 0.1444; 0.3078; 2.4610; 0.0402;    NaN;   0.89;   56.5338;   -3.7349;   -2.4074;  -12.8496;    0.0000;    0.0000
PTBB;2023;09;02;00;05;30.00; 8; 7; 9;11; 0; 0;  0.31;  0.23;  0.03;  0.01;  0.01;3844059.2497; 709661.4601;5023129.6094; 0.2027; 0.1229; 0.2139;5794986.0338; 599547.2076;    129.8757; 0.1479; 0.1218; 0.2554; 2.4630; 0.0348;    NaN;   0.79;   56.5633;   -3.7388;   -2.4070;  -12.8506;    0.0000;    0.0000
