Stat;YY  ;MM;DD;hh;mm;ss   ;nG;nR;nE;nC;nJ;nS;PDop  ;TDop  ;HDop  ;VDop  ;GDop  ;RecX        ;RecY        ;RecZ        ;RecmX  ;RecmY  ;RecmZ  ;RecN        ;RecE        ;RecU        ;RecmN  ;RecmE  ;RecmU  ;ZTD    ;mZTD   ;  ExZTD;  m0   ;   RecClkG;   RecClkR;  RecClkE;   RecClkC;   RecClkJ;  RecClkS
PTBB;2023;09;01;00;00;00.00; 7; 8; 7;13; 0; 0;  0.30;  0.93;  0.97;  0.56;  0.57;3844059.7313; 709661.4788;5023129.7452; 0.7677; 0.4794; 0.9701;5794985.7382; 599547.1445;    130.2749; 0.6095; 0.4759; 1.0782; 2.3987; 0.0368;    NaN;   0.74;   55.9101;   -3.4129;   -2.0192;  -12.9134;    0.0000;    0.0000
PTBB;2023;09;01;00;00;30.00; 7; 8; 7;13; 0; 0;  0.30;  0.88;  0.76;  0.43;  0.43;3844059.2782; 709661.1868;5023129.8636; 0.7447; 0.4604; 0.9377;5794986.2007; 599546.9304;    130.0636; 0.5856; 0.4573; 1.0459; 2.3995; 0.0506;    NaN;   1.02;   55.9879;   -3.4498;   -2.1521;  -12.7186;    0.0000;    0.0000
PTBB;2023;09;01;00;01;00.00; 7; 8; 7;13; 0; 0;  0.30;  0.59;  0.41;  0.23;  0.23;3844059.2845; 709661.2529;5023129.7110; 0.5051; 0.3113; 0.6321;5794986.0944; 599546.9963;    129.9540; 0.3933; 0.3095; 0.7079; 2.4013; 0.0421;    NaN;   0.85;   55.8508;   -3.4169;   -2.1181;  -12.6915;    0.0000;    0.0000
PTBB;2023;09;01;00;01;30.00; 7; 8; 7;13; 0; 0;  0.30;  0.58;  0.32;  0.18;  0.18;3844059.1826; 709661.1155;5023129.6669; 0.4979; 0.3073; 0.6179;5794986.1640; 599546.8783;    129.8426; 0.3841; 0.3058; 0.6950; 2.4025; 0.0480;    NaN;   0.98;   55.8411;   -3.4726;   -2.1656;  -12.7141;    0.0000;    0.0000
PTBB;2023;09;01;00;02;00.00; 7; 8; 7;13; 0; 0;  0.30;  0.44;  0.19;  0.11;  0.11;3844059.3683; 709661.2539;5023129.6453; 0.3751; 0.2325; 0.4607;5794985.9887; 599546.9843;    129.9526; 0.2869; 0.2317; 0.5206; 2.4019; 0.0405;    NaN;   0.83;   55.9372;   -3.4267;   -2.1454;  -12.7393;    0.0000;    0.0000
PTBB;2023;09;01;00;02;30.00; 7; 8; 7;13; 0; 0;  0.30;  0.49;  0.17;  0.09;  0.09;3844059.3415; 709661.2141;5023129.7504; 0.4229; 0.2638; 0.5132;5794986.0787; 599546.9482;    130.0151; 0.3208; 0.2631; 0.5828; 2.4019; 0.0499;    NaN;   1.04;   56.0262;   -3.4530;   -2.1511;  -12.7422;    0.0000;    0.0000
PTBB;2023;09;01;00;03;00.00; 7; 8; 7;13; 0; 0;  0.30;  0.54;  0.14;  0.08;  0.08;3844059.3531; 709661.1728;5023129.8068; 0.4582; 0.2881; 0.5488;5794986.1092; 599546.9048;    130.0622; 0.3448; 0.2876; 0.6265; 2.4027; 0.0580;    NaN;   1.23;   56.1200;   -3.4543;   -2.1500;  -12.7411;    0.0000;    0.0000
PTBB;2023;09;01;00;03;30.00; 7; 8; 6;13; 0; 0;  0.32;  0.44;  0.09;  0.05;  0.05;3844059.3074; 709661.1721;5023129.7185; 0.3710; 0.2353; 0.4385;5794986.0910; 599546.9128;    129.9648; 0.2771; 0.2352; 0.5032; 2.4034; 0.0505;    NaN;   1.09;   56.0931;   -3.4575;   -2.1498;  -12.7377;    0.0000;    0.0000
PTBB;2023;09;01;00;04;00.00; 7; 8; 6;13; 0; 0;  0.32;  0.46;  0.08;  0.04;  0.04;3844059.2969; 709661.2630;5023129.7267; 0.3915; 0.2506; 0.4565;5794986.0930; 599547.0040;    129.9750; 0.2900; 0.2507; 0.5268; 2.4022; 0.0569;    NaN;   1.23;   56.1162;   -3.4626;   -2.1511;  -12.7444;    0.0000;    0.0000
PTBB;2023;09;01;00;04;30.00; 7; 8; 6;12; 0; 0;  0.34;  0.39;  0.05;  0.03;  0.03;3844059.3960; 709661.2794;5023129.6978; 0.3328; 0.2151; 0.3829;5794985.9959; 599547.0042;    130.0136; 0.2445; 0.2154; 0.4443; 2.4007; 0.0512;    NaN;   1.12;   56.1513;   -3.4689;   -2.1504;  -12.7489;    0.0000;    0.0000
