Stat;YY  ;MM;DD;hh;mm;ss   ;nG;nR;nE;nC;nJ;nS;PDop  ;TDop  ;HDop  ;VDop  ;GDop  ;RecX        ;RecY        ;RecZ        ;RecmX  ;RecmY  ;RecmZ  ;RecN        ;RecE        ;RecU        ;RecmN  ;RecmE  ;RecmU  ;ZTD    ;mZTD   ;  ExZTD;  m0   ;   RecClkG;   RecClkR;  RecClkE;   RecClkC;   RecClkJ;  RecClkS
BOR1;2023;09;01;00;00;00.00; 8; 7; 7; 6; 0; 0;  0.26;  0.93;  0.92;  0.54;  0.60;3738357.9936;1148173.7322;5021814.7651; 0.7913; 0.4978; 0.9805;5793867.5287; 641456.2283;    123.3012; 0.6404; 0.4891; 1.0890; 2.4107; 0.0355;    NaN;   0.71; 2417.8894;    7.2094;    1.1307;   23.1368;    0.0000;    0.0000
BOR1;2023;09;01;00;00;30.00; 8; 7; 7; 6; 0; 0;  0.26;  0.76;  0.62;  0.36;  0.40;3738357.7635;1148173.8810;5021815.3542; 0.6572; 0.4120; 0.8142;5793868.0343; 641456.4237;    123.6594; 0.5277; 0.4054; 0.9065; 2.4119; 0.0418;    NaN;   0.84; 2417.8580;    8.0032;    1.3754;   23.3554;    0.0000;    0.0000
BOR1;2023;09;01;00;01;00.00; 8; 7; 7; 6; 0; 0;  0.26;  0.47;  0.31;  0.18;  0.20;3738357.7688;1148173.7813;5021815.5313; 0.4046; 0.2541; 0.4997;5793868.1590; 641456.3233;    123.7846; 0.3221; 0.2504; 0.5582; 2.4134; 0.0316;    NaN;   0.64; 2417.9526;    8.1761;    1.3970;   23.3683;    0.0000;    0.0000
BOR1;2023;09;01;00;01;30.00; 9; 7; 7; 6; 0; 0;  0.21;  0.45;  0.23;  0.13;  0.15;3738357.7172;1148173.7890;5021815.5827; 0.3880; 0.2449; 0.4764;5793868.2282; 641456.3438;    123.7965; 0.3065; 0.2416; 0.5341; 2.4156; 0.0351;    NaN;   0.72; 2417.8508;    8.1805;    1.4402;   23.3661;    0.0000;    0.0000
BOR1;2023;09;01;00;02;00.00; 9; 7; 7; 6; 0; 0;  0.21;  0.35;  0.14;  0.08;  0.09;3738357.6945;1148173.7363;5021815.4759; 0.2985; 0.1895; 0.3635;5793868.1910; 641456.3011;    123.6893; 0.2337; 0.1872; 0.4092; 2.4169; 0.0302;    NaN;   0.62; 2417.7820;    8.1648;    1.4448;   23.3824;    0.0000;    0.0000
BOR1;2023;09;01;00;02;30.00; 9; 7; 7; 6; 0; 0;  0.21;  0.40;  0.13;  0.07;  0.08;3738357.7632;1148173.8105;5021815.5302; 0.3463; 0.2213; 0.4174;5793868.1566; 641456.3529;    123.7857; 0.2687; 0.2190; 0.4722; 2.4198; 0.0382;    NaN;   0.80; 2417.8673;    8.1782;    1.4460;   23.3885;    0.0000;    0.0000
BOR1;2023;09;01;00;03;00.00; 9; 7; 7; 6; 0; 0;  0.21;  0.40;  0.10;  0.06;  0.06;3738357.8029;1148173.8152;5021815.5243; 0.3402; 0.2190; 0.4054;5793868.1217; 641456.3467;    123.8051; 0.2615; 0.2172; 0.4610; 2.4228; 0.0402;    NaN;   0.86; 2417.8804;    8.1910;    1.4471;   23.3885;    0.0000;    0.0000
BOR1;2023;09;01;00;03;30.00; 9; 7; 7; 6; 0; 0;  0.21;  0.29;  0.06;  0.03;  0.04;3738357.7619;1148173.7979;5021815.5646; 0.2500; 0.1622; 0.2943;5793868.1813; 641456.3405;    123.8099; 0.1903; 0.1613; 0.3364; 2.4241; 0.0311;    NaN;   0.69; 2417.8632;    8.1831;    1.4453;   23.3882;    0.0000;    0.0000
BOR1;2023;09;01;00;04;00.00; 9; 7; 7; 6; 0; 0;  0.21;  0.27;  0.04;  0.02;  0.03;3738357.8132;1148173.8215;5021815.6499; 0.2344; 0.1534; 0.2726;5793868.1894; 641456.3478;    123.9116; 0.1768; 0.1529; 0.3132; 2.4265; 0.0303;    NaN;   0.70; 2417.9268;    8.1895;    1.4479;   23.3905;    0.0000;    0.0000
BOR1;2023;09;01;00;04;30.00; 8; 7; 7; 6; 0; 0;  0.27;  0.29;  0.04;  0.02;  0.02;3738357.8534;1148173.8751;5021815.6795; 0.2487; 0.1642; 0.2857;5793868.1658; 641456.3879;    123.9682; 0.1858; 0.1642; 0.3301; 2.4286; 0.0337;    NaN;   0.79; 2417.9629;    8.1878;    1.4479;   23.3912;    0.0000;    0.0000
BOR1;2023;09;01;00;05;00.00; 8; 7; 7; 6; 0; 0;  0.27;  0.28;  0.03;  0.02;  0.02;3738357.8882;1148173.8817;5021815.6495; 0.2419; 0.1613; 0.2747;5793868.1194; 641456.3854;    123.9660; 0.1791; 0.1617; 0.3190; 2.4318; 0.0341;    NaN;   0.82; 2417.9691;    8.1883;    1.4479;   23.3915;    0.0000;    0.0000
BOR1;2023;09;01;00;05;30.00; 8; 8; 7; 6; 0; 0;  0.26;  0.24;  0.02;  0.01;  0.01;3738357.8749;1148173.8880;5021815.6813; 0.2036; 0.1371; 0.2285;5793868.1478; 641456.3945;    123.9845; 0.1493; 0.1378; 0.2668; 2.4328; 0.0297;    NaN;   0.74; 2417.9893;    8.1884;    1.4474;   23.3907;    0.0000;    0.0000
