Stat;YY  ;MM;DD;hh;mm;ss   ;nG;nR;nE;nC;nJ;nS;PDop  ;TDop  ;HDop  ;VDop  ;GDop  ;RecX        ;RecY        ;RecZ        ;RecmX  ;RecmY  ;RecmZ  ;RecN        ;RecE        ;RecU        ;RecmN  ;RecmE  ;RecmU  ;ZTD    ;mZTD   ;  ExZTD;  m0   ;   RecClkG;   RecClkR;  RecClkE;   RecClkC;   RecClkJ;  RecClkS
BOR1;2023;09;02;00;00;00.00;10; 7; 9; 6; 0; 0;  0.21;  0.87;  1.07;  0.49;  0.68;3738357.6258;1148173.8239;5021815.8551; 0.7750; 0.4497; 0.9354;5793868.4575; 641456.3975;    123.9647; 0.6506; 0.4357; 1.0319; 2.4524; 0.0364;    NaN;   0.73; 2417.7974;    7.6900;    1.8708;   23.6047;    0.0000;    0.0000
BOR1;2023;09;02;00;00;30.00; 9; 7; 9; 6; 0; 0;  0.26;  0.67;  0.68;  0.31;  0.43;3738357.6959;1148173.7754;5021815.7216; 0.6026; 0.3521; 0.7293;5793868.3323; 641456.3341;    123.8915; 0.5019; 0.3401; 0.8071; 2.4554; 0.0403;    NaN;   0.81; 2417.9665;    8.0709;    1.8340;   23.5232;    0.0000;    0.0000
BOR1;2023;09;02;00;01;00.00; 9; 7; 9; 6; 0; 0;  0.26;  0.45;  0.37;  0.17;  0.23;3738357.9342;1148173.8805;5021815.9141; 0.4039; 0.2377; 0.4869;5793868.2464; 641456.3670;    124.2019; 0.3334; 0.2291; 0.5414; 2.4578; 0.0332;    NaN;   0.67; 2418.2181;    8.0607;    1.8404;   23.5890;    0.0000;    0.0000
BOR1;2023;09;02;00;01;30.00; 9; 7; 9; 6; 0; 0;  0.26;  0.40;  0.26;  0.12;  0.16;3738357.9506;1148173.9338;5021815.9278; 0.3633; 0.2153; 0.4343;5793868.2313; 641456.4136;    124.2320; 0.2971; 0.2073; 0.4855; 2.4584; 0.0346;    NaN;   0.70; 2418.2467;    8.0910;    1.8514;   23.5380;    0.0000;    0.0000
BOR1;2023;09;02;00;02;00.00; 9; 7; 9; 6; 0; 0;  0.26;  0.38;  0.20;  0.09;  0.12;3738357.8572;1148173.8325;5021815.9448; 0.3458; 0.2062; 0.4084;5793868.3338; 641456.3412;    124.1726; 0.2802; 0.1986; 0.4593; 2.4599; 0.0368;    NaN;   0.76; 2418.1890;    8.1011;    1.8378;   23.5297;    0.0000;    0.0000
BOR1;2023;09;02;00;02;30.00; 9; 7; 9; 6; 0; 0;  0.26;  0.37;  0.15;  0.07;  0.09;3738357.8477;1148173.8532;5021815.8430; 0.3386; 0.2031; 0.3938;5793868.2746; 641456.3655;    124.0902; 0.2717; 0.1958; 0.4459; 2.4599; 0.0393;    NaN;   0.82; 2418.0845;    8.1085;    1.8461;   23.5247;    0.0000;    0.0000
BOR1;2023;09;02;00;03;00.00; 9; 7; 9; 6; 0; 0;  0.26;  0.30;  0.10;  0.04;  0.06;3738357.8903;1148173.8765;5021815.8619; 0.2738; 0.1651; 0.3130;5793868.2488; 641456.3761;    124.1343; 0.2175; 0.1595; 0.3570; 2.4602; 0.0340;    NaN;   0.73; 2418.1377;    8.1184;    1.8443;   23.5255;    0.0000;    0.0000
BOR1;2023;09;02;00;03;30.00; 9; 7; 9; 6; 0; 0;  0.26;  0.32;  0.08;  0.04;  0.05;3738357.8784;1148173.8859;5021815.8385; 0.2951; 0.1789; 0.3312;5793868.2416; 641456.3887;    124.1105; 0.2321; 0.1733; 0.3806; 2.4616; 0.0387;    NaN;   0.85; 2418.1142;    8.1085;    1.8451;   23.5238;    0.0000;    0.0000
BOR1;2023;09;02;00;04;00.00; 9; 7; 9; 6; 0; 0;  0.26;  0.33;  0.07;  0.03;  0.04;3738357.8989;1148173.8914;5021815.8379; 0.3040; 0.1853; 0.3348;5793868.2245; 641456.3885;    124.1231; 0.2367; 0.1801; 0.3878; 2.4585; 0.0416;    NaN;   0.94; 2418.1330;    8.1116;    1.8445;   23.5233;    0.0000;    0.0000
BOR1;2023;09;02;00;04;30.00; 9; 7; 9; 6; 0; 0;  0.26;  0.27;  0.04;  0.02;  0.03;3738357.9158;1148173.8812;5021815.8372; 0.2430; 0.1490; 0.2626;5793868.2133; 641456.3741;    124.1305; 0.1874; 0.1453; 0.3066; 2.4566; 0.0344;    NaN;   0.80; 2418.1451;    8.1084;    1.8438;   23.5255;    0.0000;    0.0000
BOR1;2023;09;02;00;05;00.00; 9; 7; 9; 6; 0; 0;  0.26;  0.25;  0.03;  0.02;  0.02;3738357.9347;1148173.8896;5021815.8687; 0.2235; 0.1380; 0.2372;5793868.2163; 641456.3765;    124.1680; 0.1709; 0.1350; 0.2790; 2.4548; 0.0324;    NaN;   0.78; 2418.1775;    8.1124;    1.8445;   23.5225;    0.0000;    0.0000
BOR1;2023;09;02;00;05;30.00; 9; 7; 9; 6; 0; 0;  0.26;  0.24;  0.03;  0.01;  0.02;3738357.8979;1148173.8853;5021815.8770; 0.2220; 0.1380; 0.2313;5793868.2504; 641456.3822;    124.1523; 0.1682; 0.1355; 0.2742; 2.4516; 0.0327;    NaN;   0.83; 2418.1714;    8.1091;    1.8446;   23.5211;    0.0000;    0.0000
BOR1;2023;09;02;00;06;00.00; 9; 7; 9; 5; 0; 0;  0.27;  0.20;  0.02;  0.01;  0.01;3738357.9082;1148173.8788;5021815.8598; 0.1806; 0.1130; 0.1851;5793868.2334; 641456.3734;    124.1435; 0.1356; 0.1114; 0.2210; 2.4506; 0.0273;    NaN;   0.71; 2418.1765;    8.1074;    1.8446;   23.5199;    0.0000;    0.0000
BOR1;2023;09;02;00;06;30.00; 9; 7; 9; 5; 0; 0;  0.27;  0.20;  0.02;  0.01;  0.01;3738357.8960;1148173.8764;5021815.8506; 0.1822; 0.1147; 0.1838;5793868.2376; 641456.3747;    124.1287; 0.1357; 0.1136; 0.2210; 2.4497; 0.0281;    NaN;   0.76; 2418.1688;    8.1083;    1.8433;   23.5204;    0.0000;    0.0000
BOR1;2023;09;02;00;07;00.00; 9; 7; 9; 5; 0; 0;  0.27;  0.18;  0.02;  0.01;  0.01;3738357.9049;1148173.8665;5021815.8644; 0.1621; 0.1028; 0.1611;5793868.2412; 641456.3624;    124.1430; 0.1197; 0.1022; 0.1949; 2.4490; 0.0254;    NaN;   0.71; 2418.1887;    8.1081;    1.8436;   23.5194;    0.0000;    0.0000
BOR1;2023;09;02;00;07;30.00; 9; 7; 9; 5; 0; 0;  0.27;  0.17;  0.02;  0.01;  0.01;3738357.9075;1148173.8772;5021815.8861; 0.1554; 0.0992; 0.1523;5793868.2503; 641456.3716;    124.1636; 0.1139; 0.0990; 0.1854; 2.4496; 0.0246;    NaN;   0.72; 2418.1990;    8.1092;    1.8435;   23.5196;    0.0000;    0.0000
BOR1;2023;09;02;00;08;00.00; 9; 6; 9; 5; 0; 0;  0.28;  0.19;  0.02;  0.01;  0.01;3738357.9283;1148173.8625;5021815.8906; 0.1763; 0.1134; 0.1705;5793868.2402; 641456.3518;    124.1767; 0.1283; 0.1136; 0.2090; 2.4492; 0.0284;    NaN;   0.85; 2418.2074;    8.1088;    1.8435;   23.5198;    0.0000;    0.0000
BOR1;2023;09;02;00;08;30.00; 9; 6; 9; 5; 0; 0;  0.28;  0.19;  0.02;  0.01;  0.01;3738357.9383;1148173.8615;5021815.8942; 0.1716; 0.1113; 0.1640;5793868.2350; 641456.3481;    124.1852; 0.1240; 0.1118; 0.2021; 2.4491; 0.0280;    NaN;   0.87; 2418.2229;    8.1082;    1.8434;   23.5205;    0.0000;    0.0000
BOR1;2023;09;02;00;09;00.00; 9; 6; 9; 5; 0; 0;  0.28;  0.19;  0.02;  0.01;  0.01;3738357.9350;1148173.8714;5021815.9018; 0.1682; 0.1099; 0.1589;5793868.2401; 641456.3583;    124.1911; 0.1207; 0.1108; 0.1969; 2.4482; 0.0278;    NaN;   0.89; 2418.2159;    8.1074;    1.8435;   23.5207;    0.0000;    0.0000
BOR1;2023;09;02;00;09;30.00; 8; 6; 9; 5; 0; 0;  0.36;  0.18;  0.01;  0.01;  0.01;3738357.9323;1148173.8902;5021815.9129; 0.1641; 0.1080; 0.1534;5793868.2451; 641456.3770;    124.2016; 0.1169; 0.1093; 0.1911; 2.4481; 0.0276;    NaN;   0.91; 2418.2153;    8.1083;    1.8430;   23.5212;    0.0000;    0.0000
